Date,Site,Subsite,Station,Genus,Species,Weight,Recapture,Sex,Tag_Number,Latitude,Logitude,Elevation,*NA_Exracted ,SNV ,Bartonella,Borrelia,Rickettsia,Notes,
20-May-14,1,7,1,Neotoma,mexicana,165,No,Male,1,,,,,,,,,Fleas collected,
20-May-14,1,8,3,Tamias,dorsalis,55,No,Male,2,,,,,,,,,-,
20-May-14,1,8,2,Tamias,dorsalis,60,No,Female,92654,,,,,,,,,-,
20-May-14,1,5,2,Neotoma,mexicana,225,No,Male,92651,,,,,,,,,-,
20-May-14,1,7,2,Tamias,dorsalis,80,No,Male,92649,,,,,,,,,-,
20-May-14,1,6,1,Neotoma,mexicana,210,No,Male,89613,,,,,,,,,Fleas collected,
20-May-14,1,8,1,Peromyscus,maniculatus,14.5,No,Female,NA,,,,,,,,,-,
20-May-14,1,4,1,Peromyscus,maniculatus,20,No,Male,4,,,,,,,,,-,
20-May-14,1,5,1,Peromyscus,maniculatus,28,No,Male,21,,,,,,,,,-,
21-May-14,1,8,1,Callospermophilus,lateralis,138,No,Male,92686,,,,,,,,,-,
21-May-14,1,4,1,Neotoma,mexicana,122,Yes,Male,1,,,,,,,,,-,
21-May-14,1,9,1,Tamias,dorsalis,60,Yes,Male,2,,,,,,,,,-,
21-May-14,1,4,2,Neotoma,mexicana,192,Yes,Male,89613,,,,,,,,,-,
22-May-14,2,2,10,Tamias,dorsalis,65,Yes,Female,92926,,,,,,,,,-,
22-May-14,2,3,16,Tamias,dorsalis,75,No,Male,92780,,,,,,,,,-,
22-May-14,2,2,17,Callospermophilus,lateralis,155,No,Female,89621,,,,,,,,,-,
22-May-14,2,3,17,Tamias,dorsalis,85,No,Female,92650,,,,,,,,,-,
22-May-14,2,2,1,Callospermophilus,lateralis,170,Yes,Female,92970,,,,,,,,,-,
22-May-14,2,3,23,Tamias,dorsalis,,,,,,,,,,,,,EXCAPE BY NATE,
22-May-14,2,3,25,Tamias,dorsalis,70,No,Male,92680,,,,,,,,,-,
22-May-14,2,3,9,Callospermophilus,lateralis,220,No,Female,92671,,,,,,,,,-,
22-May-14,2,2,25,Callospermophilus,lateralis,180,No,Female,92800,,,,,,,,,-,
22-May-14,2,3,10,Tamias,dorsalis,60,Yes,Female,92932,,,,,,,,,-,
22-May-14,2,2,10B,Tamias,dorsalis,68,No,Male,92648,,,,,,,,,-,
22-May-14,2,3,22,Tamias,dorsalis,80,No,Female,92666,,,,,,,,,-,
22-May-14,2,2,19,Tamias,dorsalis,60,No,Male,92692,,,,,,,,,-,
22-May-14,2,2,4,Peromyscus,maniculatus,35,No,Female,15,,,,,,,,,-,
22-May-14,2,2,1B,Peromyscus,maniculatus,12,No,Female,13,,,,,,,,,Dead and kept,
23-May-14,2,2,23,Tamias,dorsalis,60,No,Female,92691,,,,,,,,,,
23-May-14,2,3,4,Tamias,dorsalis,,Yes,Female,92932,,,,,,,,,,
23-May-14,2,3,22,Callospermophilus,lateralis,150,No,Female,92664,,,,,,,,,,
23-May-14,2,3,11,Tamias,dorsalis,70,Yes,Male,92680,,,,,,,,,,
23-May-14,2,2,6,Tamias,dorsalis,65,Yes,Female,92976,,,,,,,,,,
23-May-14,2,3,21A,Tamias,dorsalis,75,Yes,Male,92703,,,,,,,,,,
23-May-14,2,2,16,Tamias,dorsalis,78,Yes,Male,92648,,,,,,,,,,
23-May-14,2,3,21B,Tamias,dorsalis,50,No,Male,89268,,,,,,,,,,
